Pixel 7a product line matrix (lynx)
Android      Build Number            Release Date      CFG Version                             CFG SHA-256 Hash                                                      it_iliad_2124_hash
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
13.0.0       TQ2B.230505.005.A1      May 2023          cfgdb-whipro-230323-B-9801058           9b3347ff9590e90f87be4a5c019e68093b6895c46a47b675f7b779204b297640      b39c58e1d92a5c32dff408e1cc474eb93e10352d
13.0.0       TQ3A.230605.012         Jun 2023          cfgdb-whipro-230427-B-10022403          495609840c141aea71c7c81c50a222811c5e4101bcd6e2fbaa75a963e7f61fc9      2b856cbb8c4923f0aee0b2891046bf2f6bfaa557
13.0.0       TQ3A.230705.001         Jul 2023          cfgdb-whipro-230427-B-10022403          495609840c141aea71c7c81c50a222811c5e4101bcd6e2fbaa75a963e7f61fc9      2b856cbb8c4923f0aee0b2891046bf2f6bfaa557
13.0.0       TQ3A.230805.001         Aug 2023          cfgdb-whipro-230427-B-10022403          495609840c141aea71c7c81c50a222811c5e4101bcd6e2fbaa75a963e7f61fc9      2b856cbb8c4923f0aee0b2891046bf2f6bfaa557
13.0.0       TQ3A.230901.001         Sep 2023          cfgdb-whipro-230427-B-10022403          495609840c141aea71c7c81c50a222811c5e4101bcd6e2fbaa75a963e7f61fc9      2b856cbb8c4923f0aee0b2891046bf2f6bfaa557
14.0.0       UP1A.231005.007         Oct 2023          cfgdb-whipro_r16-230818-B-10680050      9a6bf03b4bcd74016131908989d30f7ef397f8ea7acf4f7e01bd46d9883013d8      7f549b772f478838a11ebfaa83c5470b99e6e0f6


Pixel 7 (Pro) product line matrix (panther, cheetah)
Android      Build Number            Release Date      CFG Version                             CFG SHA-256 Hash                                                      it_iliad_2124_hash
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
13.0.0       TD1A.220804.009.A2      Oct 2022          cfgdb-whipro-220812-B-8938343           2284622a32b772fa07470dd1027cb3e7c6e1f1b2ad0b48e19487cc1a0912f54c      9b1917cf0f87bc8ab95df0594fdf667446d6d985
13.0.0       TD1A.220804.031         Oct 2022          cfgdb-whipro-220904-B-9027250           03ebb30965039c65f91e8720faf7f545200be0c9d530fa5181c58f93fef23176      3df4fd99b9a4e1910570d7a28d7f2d072f5c8277
13.0.0       TD1A.221105.001         Nov 2022          cfgdb-whipro-220904-B-9027250           03ebb30965039c65f91e8720faf7f545200be0c9d530fa5181c58f93fef23176      3df4fd99b9a4e1910570d7a28d7f2d072f5c8277
13.0.0       TQ1A.221205.011         Dec 2022          cfgdb-whipro-221028-B-9229469           607a87c1b5e9ca28e6e400a32a1cb67fa8b11284d2240118870e65a059eac1c0      744f716abbb52eeea16696a35d5d4b111a9f0609
13.0.0       TQ1A.230105.002         Jan 2023          cfgdb-whipro-221028-B-9229469           607a87c1b5e9ca28e6e400a32a1cb67fa8b11284d2240118870e65a059eac1c0      744f716abbb52eeea16696a35d5d4b111a9f0609
13.0.0       TQ1A.230105.001.A2      Jan 2023          cfgdb-whipro-221028-B-9229469           607a87c1b5e9ca28e6e400a32a1cb67fa8b11284d2240118870e65a059eac1c0      744f716abbb52eeea16696a35d5d4b111a9f0609
13.0.0       TQ1A.230205.002         Feb 2023          cfgdb-whipro-221028-B-9229469           607a87c1b5e9ca28e6e400a32a1cb67fa8b11284d2240118870e65a059eac1c0      744f716abbb52eeea16696a35d5d4b111a9f0609
